Letter,Origin_X,Origin_Y,Destination_X,Destination_Y,Grammar,Valid/Invalid,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path,Unnamed: 17,count ,Valid/Invalid_Agent6,Valid/Invalid_Agent4,distinct
BTM_Average-Regular,501773,1072556,501640,1072191,Klippel,Invalid,2.042553191,6.584962501,3.220146458,769.7966533,0.6443768997,0.8793393412,0.9702399052,0.6678706379,Approach1,LSP,,,,,BTM_Average-Regular_Approach1
BVD_Average-Regular,500089,1076080,504336,1077966,4sector,Invalid,2.048780488,6.392317423,3.230084416,590.7003201,0.6550522648,0.8396022948,0.9766672982,0.5124878081,Approach1,LSP,,,,,BVD_Average-Regular_Approach1
BVD_Average-Regular,500089,1076080,504336,1077966,6sector,Invalid,2.048780488,6.392317423,3.230084416,590.7003201,0.6550522648,0.8396022948,0.9766672982,0.5124878081,Approach1,LSP,,,,,BVD_Average-Regular_Approach1
BVD_Average-Regular,500089,1076080,504336,1077966,8sector,Invalid,2.048780488,6.392317423,3.230084416,590.7003201,0.6550522648,0.8396022948,0.9766672982,0.5124878081,Approach1,LSP,,,,,BVD_Average-Regular_Approach1
BVD_Average-Regular,500089,1076080,504336,1077966,Klippel,Invalid,2.048780488,6.392317423,3.230084416,590.7003201,0.6550522648,0.8396022948,0.9766672982,0.5124878081,Approach1,LSP,,,,,BVD_Average-Regular_Approach1
BOC_Average-Regular,504566,1080353,500120,1081914,4sector,Invalid,2.024096386,6.392317423,3.203743262,630.6869406,0.6127366609,0.8396022948,0.9596311078,0.5471799436,Approach1,LSP,,,,,BOC_Average-Regular_Approach1
BOC_Average-Regular,504566,1080353,500120,1081914,6sector,Valid,2.024096386,6.392317423,3.203743262,630.6869406,0.6127366609,0.8396022948,0.9596311078,0.5471799436,Approach1,LSP,,,,,BOC_Average-Regular_Approach1
BOC_Average-Regular,504566,1080353,500120,1081914,8sector,Valid,2.024096386,6.392317423,3.203743262,630.6869406,0.6127366609,0.8396022948,0.9596311078,0.5471799436,Approach1,LSP,,,,,BOC_Average-Regular_Approach1
BOC_Average-Regular,504566,1080353,500120,1081914,Klippel,Invalid,2.024096386,6.392317423,3.203743262,630.6869406,0.6127366609,0.8396022948,0.9596311078,0.5471799436,Approach1,LSP,,,,,BOC_Average-Regular_Approach1
CRK_Average-Regular,502976,1100622,504803,1098880,4sector,Invalid,2.026666667,6.247927513,3.132191893,507.2261211,0.6171428571,0.8098188786,0.9133551272,0.4400661286,Approach1,LSP,,,,,CRK_Average-Regular_Approach1
CRK_Average-Regular,502976,1100622,504803,1098880,6sector,Invalid,2.026666667,6.247927513,3.132191893,507.2261211,0.6171428571,0.8098188786,0.9133551272,0.4400661286,Approach1,LSP,,,,,CRK_Average-Regular_Approach1
CRK_Average-Regular,502976,1100622,504803,1098880,8sector,Valid,2.026666667,6.247927513,3.132191893,507.2261211,0.6171428571,0.8098188786,0.9133551272,0.4400661286,Approach1,LSP,,,,,CRK_Average-Regular_Approach1
CRK_Average-Regular,502976,1100622,504803,1098880,Klippel,Invalid,2.026666667,6.247927513,3.132191893,507.2261211,0.6171428571,0.8098188786,0.9133551272,0.4400661286,Approach1,LSP,,,,,CRK_Average-Regular_Approach1
CUH_Average-Regular,502193,1108514,504431,1106480,4sector,Invalid,2.02020202,6.64385619,3.117856475,559.3243656,0.6060606061,0.8914873871,0.9040836687,0.4852662314,Approach1,LSP,,,,,CUH_Average-Regular_Approach1
CUH_Average-Regular,502193,1108514,504431,1106480,6sector,Invalid,2.02020202,6.64385619,3.117856475,559.3243656,0.6060606061,0.8914873871,0.9040836687,0.4852662314,Approach1,LSP,,,,,CUH_Average-Regular_Approach1
CUH_Average-Regular,502193,1108514,504431,1106480,8sector,Invalid,2.02020202,6.64385619,3.117856475,559.3243656,0.6060606061,0.8914873871,0.9040836687,0.4852662314,Approach1,LSP,,,,,CUH_Average-Regular_Approach1
CUH_Average-Regular,502193,1108514,504431,1106480,Klippel,Invalid,2.02020202,6.64385619,3.117856475,559.3243656,0.6060606061,0.8914873871,0.9040836687,0.4852662314,Approach1,LSP,,,,,CUH_Average-Regular_Approach1
CV_Average-Regular,502122,1112314,502669,1112314,4sector,Invalid,2,5.584962501,3.160034317,275.8794682,0.5714285714,0.6730685825,0.9313622662,0.2393512568,Approach1,LSP,,,,,CV_Average-Regular_Approach1
CV_Average-Regular,502122,1112314,502669,1112314,6sector,Invalid,2,5.584962501,3.160034317,275.8794682,0.5714285714,0.6730685825,0.9313622662,0.2393512568,Approach1,LSP,,,,,CV_Average-Regular_Approach1
CV_Average-Regular,502122,1112314,502669,1112314,8sector,Invalid,2,5.584962501,3.160034317,275.8794682,0.5714285714,0.6730685825,0.9313622662,0.2393512568,Approach1,LSP,,,,,CV_Average-Regular_Approach1
CV_Average-Regular,502122,1112314,502669,1112314,Klippel,Invalid,2,5.584962501,3.160034317,275.8794682,0.5714285714,0.6730685825,0.9313622662,0.2393512568,Approach1,LSP,,,,,CV_Average-Regular_Approach1
CWC_Average-Regular,505743,1114553,502131,1116114,4sector,Invalid,2.02247191,6.491853096,3.11474093,538.7292568,0.6099518459,0.8601335937,0.9020686845,0.467398047,Approach1,LSP,,,,,CWC_Average-Regular_Approach1
CWC_Average-Regular,505743,1114553,502131,1116114,6sector,Invalid,2.02247191,6.491853096,3.11474093,538.7292568,0.6099518459,0.8601335937,0.9020686845,0.467398047,Approach1,LSP,,,,,CWC_Average-Regular_Approach1
CWC_Average-Regular,505743,1114553,502131,1116114,8sector,Invalid,2.02247191,6.491853096,3.11474093,538.7292568,0.6099518459,0.8601335937,0.9020686845,0.467398047,Approach1,LSP,,,,,CWC_Average-Regular_Approach1
CWC_Average-Regular,505743,1114553,502131,1116114,Klippel,Invalid,2.02247191,6.491853096,3.11474093,538.7292568,0.6099518459,0.8601335937,0.9020686845,0.467398047,Approach1,LSP,,,,,CWC_Average-Regular_Approach1
CVG_Average-Regular,502122,1123714,502669,1123714,4sector,Invalid,2,6.303780748,3.15514353,392.7109,0.5714285714,0.8213397678,0.928199141,0.3407134574,Approach1,LSP,,,,,CVG_Average-Regular_Approach1
CVG_Average-Regular,502122,1123714,502669,1123714,6sector,Invalid,2,6.303780748,3.15514353,392.7109,0.5714285714,0.8213397678,0.928199141,0.3407134574,Approach1,LSP,,,,,CVG_Average-Regular_Approach1
CVG_Average-Regular,502122,1123714,502669,1123714,8sector,Invalid,2,6.303780748,3.15514353,392.7109,0.5714285714,0.8213397678,0.928199141,0.3407134574,Approach1,LSP,,,,,CVG_Average-Regular_Approach1
CVG_Average-Regular,502122,1123714,502669,1123714,Klippel,Invalid,2,6.303780748,3.15514353,392.7109,0.5714285714,0.8213397678,0.928199141,0.3407134574,Approach1,LSP,,,,,CVG_Average-Regular_Approach1
DCJ_Average-Regular,502727,1128877,501695.8043,1131175,4sector,Invalid,2,6.044394119,3.127843972,433.4068833,0.5714285714,0.767835891,0.9105431014,0.3760210314,Approach1,LSP,,,,,DCJ_Average-Regular_Approach1
DCJ_Average-Regular,502727,1128877,501695.8043,1131175,6sector,Invalid,2,6.044394119,3.127843972,433.4068833,0.5714285714,0.767835891,0.9105431014,0.3760210314,Approach1,LSP,,,,,DCJ_Average-Regular_Approach1
DCJ_Average-Regular,502727,1128877,501695.8043,1131175,8sector,Invalid,2,6.044394119,3.127843972,433.4068833,0.5714285714,0.767835891,0.9105431014,0.3760210314,Approach1,LSP,,,,,DCJ_Average-Regular_Approach1
DCJ_Average-Regular,502727,1128877,501695.8043,1131175,Klippel,Invalid,2,6.044394119,3.127843972,433.4068833,0.5714285714,0.767835891,0.9105431014,0.3760210314,Approach1,LSP,,,,,DCJ_Average-Regular_Approach1
DGC_Average-Regular,505015,1133553,501695.8043,1134975,4sector,Valid,2,6.491853096,3.244714287,559.0831858,0.5714285714,0.8601335937,0.9861291941,0.4850569852,Approach1,LSP,,,,,DGC_Average-Regular_Approach1
DGC_Average-Regular,505015,1133553,501695.8043,1134975,6sector,Valid,2,6.491853096,3.244714287,559.0831858,0.5714285714,0.8601335937,0.9861291941,0.4850569852,Approach1,LSP,,,,,DGC_Average-Regular_Approach1
DGC_Average-Regular,505015,1133553,501695.8043,1134975,8sector,Valid,2,6.491853096,3.244714287,559.0831858,0.5714285714,0.8601335937,0.9861291941,0.4850569852,Approach1,LSP,,,,,DGC_Average-Regular_Approach1
DGC_Average-Regular,505015,1133553,501695.8043,1134975,Klippel,Invalid,2,6.491853096,3.244714287,559.0831858,0.5714285714,0.8601335937,0.9861291941,0.4850569852,Approach1,LSP,,,,,DGC_Average-Regular_Approach1
DGH_Average-Regular,501695.8043,1138775,504551,1136880,4sector,Invalid,2,6.539158811,3.195294042,570.6262492,0.5714285714,0.8698913794,0.9541665588,0.495071673,Approach1,LSP,,,,,DGH_Average-Regular_Approach1
DGH_Average-Regular,501695.8043,1138775,504551,1136880,6sector,Invalid,2,6.539158811,3.195294042,570.6262492,0.5714285714,0.8698913794,0.9541665588,0.495071673,Approach1,LSP,,,,,DGH_Average-Regular_Approach1
DGH_Average-Regular,501695.8043,1138775,504551,1136880,8sector,Valid,2,6.539158811,3.195294042,570.6262492,0.5714285714,0.8698913794,0.9541665588,0.495071673,Approach1,LSP,,,,,DGH_Average-Regular_Approach1
DGH_Average-Regular,501695.8043,1138775,504551,1136880,Klippel,Invalid,2,6.539158811,3.195294042,570.6262492,0.5714285714,0.8698913794,0.9541665588,0.495071673,Approach1,LSP,,,,,DGH_Average-Regular_Approach1
DI_Average-Regular,501695.8043,1142575,502454,1142714,4sector,Invalid,2.042553191,5.584962501,3.098332367,303.0832102,0.6443768997,0.6730685825,0.8914564157,0.2629530487,Approach1,LSP,,,,,DI_Average-Regular_Approach1
DI_Average-Regular,501695.8043,1142575,502454,1142714,6sector,Invalid,2.042553191,5.584962501,3.098332367,303.0832102,0.6443768997,0.6730685825,0.8914564157,0.2629530487,Approach1,LSP,,,,,DI_Average-Regular_Approach1
DI_Average-Regular,501695.8043,1142575,502454,1142714,8sector,Valid,2.042553191,5.584962501,3.098332367,303.0832102,0.6443768997,0.6730685825,0.8914564157,0.2629530487,Approach1,LSP,,,,,DI_Average-Regular_Approach1
DI_Average-Regular,501695.8043,1142575,502454,1142714,Klippel,Valid,2.042553191,5.584962501,3.098332367,303.0832102,0.6443768997,0.6730685825,0.8914564157,0.2629530487,Approach1,LSP,,,,,DI_Average-Regular_Approach1
DIH_Average-Regular,502723,1144391,503288,1144480,4sector,Invalid,2.047058824,6.442943496,3.089061818,669.4670425,0.6521008403,0.8500449733,0.8854606711,0.5808253112,Approach1,LSP,,,,,DIH_Average-Regular_Approach1
DIH_Average-Regular,502723,1144391,503288,1144480,6sector,Invalid,2.047058824,6.442943496,3.089061818,669.4670425,0.6521008403,0.8500449733,0.8854606711,0.5808253112,Approach1,LSP,,,,,DIH_Average-Regular_Approach1
DIH_Average-Regular,502723,1144391,503288,1144480,8sector,Valid,2.047058824,6.442943496,3.089061818,669.4670425,0.6521008403,0.8500449733,0.8854606711,0.5808253112,Approach1,LSP,,,,,DIH_Average-Regular_Approach1
DIH_Average-Regular,502723,1144391,503288,1144480,Klippel,Invalid,2.047058824,6.442943496,3.089061818,669.4670425,0.6521008403,0.8500449733,0.8854606711,0.5808253112,Approach1,LSP,,,,,DIH_Average-Regular_Approach1
DJI_Average-Regular,501422,1147877,501695.8043,1150175,4sector,Invalid,2.064516129,6,3.094852884,479.7967748,0.6820276498,0.7586786824,0.8892060538,0.4162686037,Approach1,LSP,,,,,DJI_Average-Regular_Approach1
DJI_Average-Regular,501422,1147877,501695.8043,1150175,6sector,Invalid,2.064516129,6,3.094852884,479.7967748,0.6820276498,0.7586786824,0.8892060538,0.4162686037,Approach1,LSP,,,,,DJI_Average-Regular_Approach1
DJI_Average-Regular,501422,1147877,501695.8043,1150175,8sector,Invalid,2.064516129,6,3.094852884,479.7967748,0.6820276498,0.7586786824,0.8892060538,0.4162686037,Approach1,LSP,,,,,DJI_Average-Regular_Approach1
DJI_Average-Regular,501422,1147877,501695.8043,1150175,Klippel,Invalid,2.064516129,6,3.094852884,479.7967748,0.6820276498,0.7586786824,0.8892060538,0.4162686037,Approach1,LSP,,,,,DJI_Average-Regular_Approach1
DMF_Average-Regular,502389,1152080,505159,1153588,4sector,Invalid,2.049180328,6.965784285,3.167539296,908.0298294,0.6557377049,0.9578917395,0.9362161255,0.7878008546,Approach1,LSP,,,,,DMF_Average-Regular_Approach1
DMF_Average-Regular,502389,1152080,505159,1153588,6sector,Invalid,2.049180328,6.965784285,3.167539296,908.0298294,0.6557377049,0.9578917395,0.9362161255,0.7878008546,Approach1,LSP,,,,,DMF_Average-Regular_Approach1
DMF_Average-Regular,502389,1152080,505159,1153588,8sector,Invalid,2.049180328,6.965784285,3.167539296,908.0298294,0.6557377049,0.9578917395,0.9362161255,0.7878008546,Approach1,LSP,,,,,DMF_Average-Regular_Approach1
DMF_Average-Regular,502389,1152080,505159,1153588,Klippel,Invalid,2.049180328,6.965784285,3.167539296,908.0298294,0.6557377049,0.9578917395,0.9362161255,0.7878008546,Approach1,LSP,,,,,DMF_Average-Regular_Approach1
