model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,6,complete,step_cost,0.242,8.863,0.0,0.0,unseen
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,6,incomplete,step_cost,0.227,3.9,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,6,complete,step_cost,0.28,5.675,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,6,complete,step_cost,0.28,5.675,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,6,complete,step_cost,0.3,0.0,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,6,complete,step_cost,0.243,8.707,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,6,incomplete,step_cost,0.201,5.957,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,6,incomplete,step_cost,0.147,5.951,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,6,complete,step_cost,0.299,0.3,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,6,complete,step_cost,0.295,0.922,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,6,incomplete,step_cost,0.201,5.957,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,6,complete,step_cost,0.3,0.0,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
