Wall time,Step,Value
1739949708.5386813,6402048,1428.0
1739949722.6690683,6422528,1429.0
1739949728.364848,6430720,1429.0
1739949729.7774274,6432768,1429.0
1739949731.3752573,6434816,1429.0
1739949741.2446296,6449152,1429.0
1739949765.7712352,6483968,1429.0
1739949805.1699347,6541312,1432.0
1739949812.347062,6551552,1432.0
1739949832.309434,6580224,1508.0
1739949842.2645297,6594560,1482.0
1739949849.3876507,6604800,1472.0
1739949867.7780747,6631424,1463.0
1739949872.0301375,6637568,1462.0
1739949884.77306,6656000,1459.0
1739949901.5844982,6680576,1460.0
1739949936.3262057,6729728,1446.0
1739949940.7441752,6735872,1444.0
1739949995.6451678,6813696,1436.0
1739950044.2421443,6883328,1435.0
1739950067.9114008,6916096,1430.0
1739950094.2135782,6952960,1428.0
1739950101.4096525,6963200,1428.0
1739950108.7288775,6973440,1427.0
1739950110.1438134,6975488,1427.0
1739950121.86598,6991872,1426.0
1739950137.5418,7014400,1426.0
1739950157.702296,7043072,1426.0
1739950183.2795377,7059456,2658.0
1739950194.6320426,7075840,1520.0
1739950233.1736507,7131136,1455.0
1739950265.0725105,7176192,1438.0
1739950266.5318053,7178240,1438.0
1739950267.8849761,7180288,1439.0
1739950276.5809329,7192576,1436.0
1739950279.2995868,7196672,1438.0
1739950289.6236906,7211008,1433.0
1739950326.5764244,7264256,1435.0
1739950352.372775,7301120,1434.0
1739950383.7059004,7346176,1435.0
1739950387.9212193,7352320,1435.0
1739950397.8590465,7366656,1436.0
1739950414.7577791,7391232,1437.0
1739950431.8531191,7415808,1437.0
1739950450.4421768,7442432,1437.0
1739950451.8269591,7444480,1437.0
1739950454.775635,7448576,1436.0
1739950474.5833898,7477248,1437.0
1739950508.509501,7526400,1438.0
1739950512.8562407,7532544,1438.0
1739950515.5849712,7536640,1438.0
1739950518.4555109,7540736,1438.0
1739950522.708249,7546880,1438.0
1739950528.4798598,7555072,1438.0
1739950557.034615,7561216,2660.0
1739950584.2793024,7600128,1462.0
1739950598.3790033,7620608,1458.0
1739950615.467895,7645184,1452.0
1739950622.4571326,7655424,1454.0
1739950661.8276336,7712768,1455.0
1739950663.3602393,7714816,1453.0
1739950666.1822312,7718912,1453.0
1739950673.4685674,7729152,1450.0
1739950675.0296144,7731200,1448.0
1739950685.134377,7745536,1446.0
1739950687.939235,7749632,1446.0
1739950715.133234,7788544,1443.0
1739950716.6257017,7790592,1443.0
1739950722.17632,7798784,1444.0
1739950726.445125,7804928,1444.0
1739950758.8073583,7852032,1445.0
1739950808.8488655,7923712,1443.0
1739950811.8122365,7927808,1442.0
1739950826.18933,7948288,1441.0
1739950839.1630523,7966720,1440.0
1739950886.1274087,8034304,1440.0
1739950899.0783393,8052736,1439.0
1739950904.8534691,8060928,1439.0
1739950931.2252934,8073216,1581.0
1739950948.4193397,8097792,1476.0
1739950952.5605733,8103936,1477.0
1739950978.6078491,8138752,1411.0
1739950996.8889103,8165376,1422.0
1739951009.7188888,8183808,1424.0
1739951018.3681538,8196096,1424.0
1739951062.3082573,8259584,1430.0
1739951065.1784418,8263680,1430.0
1739951078.0576942,8282112,1430.0
1739951093.3559117,8304640,1434.0
1739951102.1977322,8316928,1432.0
1739951112.1599526,8331264,1432.0
1739951164.6759093,8407040,1434.0
1739951200.9634106,8458240,1431.0
1739951209.322709,8470528,1432.0
1739951218.0045204,8482816,1432.0
1739951222.340753,8488960,1432.0
1739951253.6642811,8534016,1432.0
1739951268.125222,8554496,1432.0
1739951317.571288,8605696,1463.0
1739951333.1333003,8628224,1458.0
1739951354.2253716,8658944,1457.0
1739951374.0273867,8687616,1455.0
1739951382.6276383,8699904,1452.0
1739951409.66292,8738816,1449.0
1739951414.0113175,8744960,1448.0
1739951418.273489,8751104,1448.0
1739951425.5497844,8761344,1446.0
1739951460.0768464,8810496,1441.0
1739951514.0549057,8886272,1432.0
1739951521.3784022,8896512,1431.0
1739951528.668043,8906752,1430.0
1739951537.2599833,8919040,1430.0
1739951597.3362155,9005056,1430.0
1739951601.5457711,9011200,1431.0
1739951624.6069057,9043968,1430.0
1739951635.8825054,9060352,1431.0
1739951642.21806,9068544,1928.0
1739951663.3179474,9099264,1499.0
1739951666.1403666,9103360,1493.0
1739951681.8102343,9125888,1472.0
1739951692.9775224,9142272,1471.0
1739951708.7879467,9164800,1460.0
1739951725.7987356,9189376,1457.0
1739951758.411924,9236480,1453.0
1739951766.7194228,9248768,1455.0
1739951810.271965,9310208,1444.0
1739951824.5735176,9330688,1443.0
1739951830.1975281,9338880,1443.0
1739951866.050164,9390080,1441.0
1739951871.6855135,9398272,1441.0
1739951880.2423975,9410560,1441.0
1739951925.7783484,9476096,1440.0
1739951929.948569,9482240,1441.0
1739951934.1612303,9488384,1441.0
1739952000.932456,9564160,1384.0
1739952015.4270031,9574400,867.0
1739952023.9492078,9582592,912.0
1739952028.647847,9584640,813.0
1739952056.9506867,9601024,683.0
1739952093.3696992,9623552,656.0
1739952113.8505747,9639936,683.0
1739952124.919376,9648128,688.0
1739952128.9498715,9652224,699.0
1739952144.062761,9664512,711.0
1739952169.4848828,9680896,701.0
1739952171.3715894,9682944,705.0
1739952195.5335221,9701376,713.0
1739952240.4148183,9730048,698.0
1739952263.5355515,9744384,691.0
1739952326.9691212,9789440,695.0
1739952345.740241,9803776,699.0
1739952362.9409893,9816064,699.0
1739952375.1386733,9824256,699.0
1739952377.9954162,9826304,699.0
1739952447.0146,9881600,715.0
1739952455.9972403,9887744,714.0
1739952463.7630105,9893888,715.0
1739952473.206582,9902080,718.0
1739952513.161962,9934848,726.0
1739952517.8820934,9938944,728.0
1739952523.2623026,9943040,728.0
1739952525.2724009,9945088,729.0
1739952527.640526,9947136,730.0
1739952555.2248182,9963520,723.0
1739952672.4105742,10041344,712.0
1739952710.4780154,10067968,712.0
1739952752.9496794,10098688,805.0
1739952802.7783973,10137600,791.0
1739952817.274258,10145792,759.0
1739952833.2985399,10160128,777.0
1739952841.6266978,10168320,791.0
1739952859.2206864,10178560,765.0
1739952936.4590938,10242048,785.0
1739952952.2423725,10264576,828.0
1739952998.3630035,10330112,924.0
1739953032.7171872,10379264,979.0
1739953052.721404,10407936,1006.0
1739953060.2667735,10418176,1013.0
1739953078.8851376,10444800,1035.0
1739953080.2405777,10446848,1036.0
1739953091.8171902,10463232,1048.0
1739953094.547146,10467328,1051.0
1739953101.620808,10477568,1058.0
1739953154.666466,10553344,1103.0
1739953160.2560418,10561536,1108.0
1739953166.167092,10569728,1111.0
1739953185.1529553,10592256,1487.0
1739953186.4992073,10594304,1490.0
1739953189.3563178,10598400,1482.0
1739953190.8714335,10600448,1472.0
1739953236.994874,10665984,1437.0
1739953252.5679715,10688512,1438.0
1739953255.478358,10692608,1437.0
1739953262.5220892,10702848,1438.0
1739953265.3862062,10706944,1438.0
1739953272.470823,10717184,1439.0
1739953281.0334084,10729472,1438.0
1739953290.8977196,10743808,1440.0
1739953309.3803654,10770432,1440.0
1739953330.802483,10801152,1439.0
1739953343.5087023,10819584,1440.0
1739953347.9487832,10825728,1438.0
1739953391.2408643,10887168,1434.0
1739953423.990595,10934272,1435.0
1739953425.5034962,10936320,1434.0
1739953429.8018718,10942464,1434.0
1739953432.751392,10946560,1434.0
1739953438.5849528,10954752,1433.0
1739953447.0581079,10967040,1434.0
1739953486.984697,11024384,1434.0
1739953498.4429474,11040768,1434.0
1739953536.6039033,11087872,1480.0
1739953549.2838295,11106304,1466.0
1739953550.7567027,11108352,1461.0
1739953570.7784133,11137024,1448.0
1739953580.574862,11151360,1451.0
1739953610.966154,11194368,1438.0
1739953623.9387186,11212800,1436.0
1739953628.2278693,11218944,1435.0
1739953631.1687732,11223040,1434.0
1739953695.8707597,11315200,1430.0
